time,gFx,gFy,gFz,TgF
6.53802E-4,-0.0332,-0.0151,0.9594,0.960
9.475E-4,-0.0347,-0.0127,0.9560,0.957
0.003420312,-0.0347,-0.0151,0.9565,0.957
0.003860781,-0.0342,-0.0142,0.9585,0.959
0.004011927,-0.0371,-0.0112,0.9682,0.969
0.007290521,-0.0327,-0.0137,0.9721,0.973
0.012884427,-0.0288,-0.0132,0.9653,0.966
0.013425729,-0.0269,-0.0186,0.9741,0.975
0.017823125,-0.0230,-0.0195,0.9809,0.981
0.018135469,-0.0254,-0.0190,0.9785,0.979
0.022912239,-0.0259,-0.0156,0.9829,0.983
0.023464583,-0.0269,-0.0210,0.9883,0.989
0.028030729,-0.0264,-0.0205,0.9990,1.000
0.028639739,-0.0283,-0.0234,0.9975,0.998
0.032779948,-0.0298,-0.0283,1.0010,1.002
0.033018229,-0.0308,-0.0264,1.0054,1.006
0.037741406,-0.0317,-0.0303,1.0122,1.013
0.038115781,-0.0264,-0.0303,1.0127,1.013
0.042892864,-0.0313,-0.0327,1.0112,1.012
0.043274114,-0.0303,-0.0366,1.0112,1.012
0.043486302,-0.0317,-0.0342,1.0112,1.012
0.048493489,-0.0308,-0.0361,1.0058,1.007
0.058130937,-0.0317,-0.0352,1.0093,1.010
0.058743594,-0.0303,-0.0356,1.0049,1.006
0.059069687,-0.0337,-0.0376,1.0058,1.007
0.059355469,-0.0356,-0.0327,1.0034,1.005
0.063945833,-0.0376,-0.0337,0.9971,0.998
0.064586667,-0.0352,-0.0322,0.9985,1.000
0.072398385,-0.0391,-0.0322,0.9961,0.997
0.076035417,-0.0352,-0.0269,0.9961,0.997
0.076339167,-0.0361,-0.0278,0.9883,0.989
0.076578906,-0.0371,-0.0293,0.9936,0.995
0.076749792,-0.0347,-0.0269,0.9887,0.990
0.078088646,-0.0342,-0.0254,0.9902,0.991
0.083252292,-0.0356,-0.0244,0.9873,0.988
0.083893385,-0.0376,-0.0210,0.9863,0.987
0.088931979,-0.0352,-0.0259,0.9902,0.991
0.089435469,-0.0337,-0.0273,0.9971,0.998
0.093562656,-0.0361,-0.0254,0.9917,0.993
0.093817135,-0.0352,-0.0249,0.9966,0.997
0.093921458,-0.0337,-0.0278,0.9971,0.998
0.097723073,-0.0352,-0.0254,0.9985,0.999
0.103026667,-0.0332,-0.0273,0.9990,1.000
0.103382187,-0.0298,-0.0293,1.0010,1.002
0.108607187,-0.0352,-0.0283,1.0039,1.005
0.10891625,-0.0337,-0.0293,1.0044,1.005
0.114583958,-0.0381,-0.0254,1.0078,1.009
0.115245156,-0.0317,-0.0244,1.0014,1.002
0.119301406,-0.0342,-0.0249,1.0010,1.002
0.120140312,-0.0352,-0.0254,1.0005,1.001
0.128625521,-0.0352,-0.0249,0.9971,0.998
0.129293854,-0.0347,-0.0225,1.0034,1.004
0.129630573,-0.0347,-0.0249,0.9995,1.000
0.129928437,-0.0352,-0.0215,0.9975,0.998
0.134518542,-0.0352,-0.0171,0.9956,0.996
0.134931667,-0.0381,-0.0210,0.9975,0.998
0.138418073,-0.0327,-0.0210,0.9946,0.995
0.138829219,-0.0352,-0.0195,0.9975,0.998
0.145367656,-0.0376,-0.0176,0.9941,0.995
0.145858021,-0.0337,-0.0230,0.9931,0.994
0.146128177,-0.0322,-0.0200,0.9980,0.999
0.149466354,-0.0337,-0.0234,0.9936,0.994
0.153927135,-0.0288,-0.0234,0.9927,0.993
0.154444323,-0.0332,-0.0269,0.9931,0.994
0.159770781,-0.0313,-0.0269,1.0005,1.001
0.160288489,-0.0327,-0.0298,1.0039,1.005
0.160612292,-0.0278,-0.0288,1.0029,1.004
0.166260521,-0.0259,-0.0293,1.0005,1.001
0.169837448,-0.0254,-0.0337,1.0019,1.003
0.170259687,-0.0264,-0.0366,1.0014,1.002
0.175012708,-0.0254,-0.0313,1.0000,1.001
0.175398594,-0.0303,-0.0352,1.0034,1.004
0.175613281,-0.0313,-0.0313,1.0039,1.005
0.179007187,-0.0322,-0.0317,1.0029,1.004
0.185888073,-0.0303,-0.0313,1.0063,1.007
0.186279427,-0.0313,-0.0327,1.0005,1.001
0.189407812,-0.0327,-0.0327,1.0005,1.002
0.189790573,-0.0313,-0.0317,1.0039,1.005
0.195278906,-0.0342,-0.0342,0.9995,1.001
0.195734219,-0.0337,-0.0317,0.9975,0.999
0.19634151,-0.0376,-0.0322,0.9990,1.000
0.199334219,-0.0332,-0.0356,1.0000,1.001
0.204505416,-0.0298,-0.0352,0.9951,0.996
0.20498901,-0.0303,-0.0298,0.9946,0.996
0.209787083,-0.0337,-0.0317,0.9941,0.995
0.210177187,-0.0303,-0.0317,0.9907,0.992
0.210429427,-0.0249,-0.0303,0.9927,0.993
0.216641302,-0.0283,-0.0264,0.9931,0.994
0.220332031,-0.0264,-0.0298,0.9922,0.993
0.220953021,-0.0317,-0.0259,0.9907,0.992
0.224954791,-0.0327,-0.0239,0.9917,0.993
0.225411198,-0.0332,-0.0264,0.9878,0.989
0.225709479,-0.0313,-0.0249,0.9887,0.990
0.233097864,-0.0303,-0.0264,0.9907,0.992
0.234721041,-0.0254,-0.0313,0.9863,0.987
0.235071041,-0.0225,-0.0293,0.9887,0.989
0.240073333,-0.0215,-0.0352,0.9902,0.991
0.240786406,-0.0190,-0.0337,0.9941,0.995
0.245276041,-0.0205,-0.0361,0.9936,0.995
0.245843021,-0.0215,-0.0308,0.9951,0.996
0.249289687,-0.0230,-0.0352,0.9961,0.997
0.249685781,-0.0269,-0.0303,0.9980,0.999
0.25003,-0.0278,-0.0264,1.0019,1.003
0.255150104,-0.0322,-0.0303,1.0005,1.001
0.259757031,-0.0347,-0.0288,1.0024,1.003
0.2602475,-0.0347,-0.0264,1.0014,1.002
0.260544531,-0.0361,-0.0269,1.0073,1.008
0.266323906,-0.0381,-0.0298,1.0078,1.009
0.272132656,-0.0381,-0.0278,1.0073,1.008
0.272827708,-0.0410,-0.0278,1.0063,1.008
0.274440208,-0.0459,-0.0298,1.0102,1.012
0.275240989,-0.0474,-0.0278,1.0141,1.016
0.2809875,-0.0483,-0.0293,1.0132,1.015
0.281525104,-0.0449,-0.0288,1.0166,1.018
0.281696094,-0.0479,-0.0239,1.0156,1.017
0.284573698,-0.0464,-0.0220,1.0161,1.017
0.290423281,-0.0523,-0.0195,1.0185,1.020
0.291145729,-0.0548,-0.0190,1.0176,1.019
0.296205052,-0.0548,-0.0190,1.0161,1.018
0.296994427,-0.0518,-0.0166,1.0185,1.020
0.299465885,-0.0548,-0.0166,1.0156,1.017
0.300790989,-0.0449,-0.0195,1.0146,1.016
0.306445573,-0.0415,-0.0161,1.0097,1.011
0.307346666,-0.0479,-0.0151,1.0127,1.014
0.311402916,-0.0464,-0.0137,1.0112,1.012
0.312375104,-0.0469,-0.0127,1.0093,1.010
0.315827239,-0.0444,-0.0132,1.0073,1.008
0.316223021,-0.0430,-0.0186,1.0044,1.005
0.316391302,-0.0391,-0.0156,0.9990,1.000
0.320947239,-0.0366,-0.0205,0.9975,0.998
0.325608073,-0.0371,-0.0195,0.9951,0.996
0.326060104,-0.0410,-0.0166,0.9912,0.992
0.33041625,-0.0425,-0.0186,0.9887,0.990
0.331104062,-0.0361,-0.0254,0.9858,0.987
0.336518333,-0.0386,-0.0278,0.9839,0.985
0.337289219,-0.0381,-0.0283,0.9844,0.985
0.337632916,-0.0352,-0.0308,0.9844,0.985
0.340505416,-0.0386,-0.0298,0.9809,0.982
0.345543073,-0.0376,-0.0352,0.9770,0.978
0.346347239,-0.0361,-0.0322,0.9800,0.981
0.351801979,-0.0342,-0.0342,0.9834,0.985
0.352328385,-0.0327,-0.0332,0.9800,0.981
0.358273489,-0.0308,-0.0327,0.9829,0.984
0.359074375,-0.0386,-0.0371,0.9844,0.986
0.361021406,-0.0386,-0.0332,0.9824,0.984
0.361344791,-0.0391,-0.0317,0.9883,0.990
0.365847083,-0.0391,-0.0361,0.9844,0.986
0.366422916,-0.0376,-0.0347,0.9883,0.990
0.366636302,-0.0376,-0.0313,0.9907,0.992
0.370631198,-0.0396,-0.0391,0.9912,0.993
0.375896302,-0.0400,-0.0356,0.9892,0.991
0.376246771,-0.0405,-0.0391,0.9887,0.990
0.380727396,-0.0405,-0.0449,0.9927,0.994
0.381262396,-0.0391,-0.0327,0.9956,0.997
0.384670885,-0.0430,-0.0386,0.9927,0.994
0.385087083,-0.0430,-0.0400,0.9931,0.995
0.389642969,-0.0420,-0.0347,0.9956,0.997
0.389957552,-0.0410,-0.0371,1.0019,1.003
0.396608854,-0.0425,-0.0361,0.9990,1.001
0.397293229,-0.0454,-0.0356,0.9975,0.999
0.397574427,-0.0391,-0.0342,0.9961,0.997
0.399564844,-0.0376,-0.0361,1.0029,1.004
0.405642083,-0.0376,-0.0352,1.0029,1.004
0.406374791,-0.0352,-0.0327,1.0029,1.004
0.411380312,-0.0356,-0.0293,1.0024,1.003
0.412363229,-0.0327,-0.0298,1.0019,1.003
0.415330989,-0.0356,-0.0249,1.0024,1.003
0.415892396,-0.0342,-0.0230,0.9980,0.999
0.421442187,-0.0332,-0.0195,1.0014,1.002
0.421918593,-0.0303,-0.0195,1.0000,1.001
0.422239271,-0.0283,-0.0181,1.0024,1.003
0.424636666,-0.0322,-0.0205,0.9980,0.999
0.430895,-0.0273,-0.0244,1.0019,1.003
0.43178776,-0.0308,-0.0264,0.9985,0.999
0.434914271,-0.0391,-0.0254,0.9980,0.999
0.435373281,-0.0415,-0.0293,0.9985,1.000
0.441465573,-0.0449,-0.0347,0.9995,1.001
0.443102239,-0.0469,-0.0361,0.9995,1.001
0.445525833,-0.0498,-0.0327,0.9985,1.000
0.446306458,-0.0493,-0.0386,1.0049,1.007
0.451901562,-0.0513,-0.0430,1.0039,1.006
0.452796875,-0.0493,-0.0405,1.0058,1.008
0.453224062,-0.0548,-0.0391,1.0039,1.006
0.455839531,-0.0533,-0.0396,1.0083,1.010
0.460954114,-0.0483,-0.0435,1.0034,1.006
0.462344843,-0.0538,-0.0420,1.0083,1.011
0.465313437,-0.0582,-0.0391,1.0102,1.013
0.465945,-0.0611,-0.0356,1.0083,1.011
0.470933333,-0.0601,-0.0352,1.0093,1.012
0.471480416,-0.0572,-0.0347,1.0117,1.014
0.476275833,-0.0483,-0.0361,1.0063,1.008
0.476596198,-0.0454,-0.0366,1.0073,1.009
0.476778802,-0.0371,-0.0347,1.0058,1.007
0.483481614,-0.0308,-0.0361,1.0024,1.004
0.485882343,-0.0273,-0.0352,1.0005,1.001
0.486194271,-0.0254,-0.0371,1.0000,1.001
0.490734843,-0.0225,-0.0381,1.0029,1.004
0.491084271,-0.0176,-0.0356,1.0019,1.003
0.495501875,-0.0176,-0.0278,1.0000,1.001
0.496460208,-0.0132,-0.0283,1.0000,1.000
0.501594583,-0.0137,-0.0254,0.9990,0.999
0.502070781,-0.0200,-0.0249,0.9966,0.997
0.50557125,-0.0181,-0.0234,0.9966,0.997
0.506462083,-0.0230,-0.0186,0.9961,0.997
0.512397552,-0.0303,-0.0181,0.9971,0.998
0.513231041,-0.0376,-0.0215,0.9912,0.992
0.513542916,-0.0386,-0.0205,0.9941,0.995
0.516722396,-0.0454,-0.0249,0.9902,0.992
0.520966041,-0.0474,-0.0225,0.9941,0.996
0.522062864,-0.0483,-0.0249,0.9931,0.995
0.526708125,-0.0503,-0.0254,0.9927,0.994
0.527347083,-0.0474,-0.0308,0.9917,0.993
0.527726927,-0.0444,-0.0342,0.9941,0.996
0.532679791,-0.0439,-0.0361,0.9956,0.997
0.538782604,-0.0415,-0.0381,0.9980,1.000
0.540498385,-0.0347,-0.0381,0.9966,0.998
0.547878802,-0.0322,-0.0381,0.9951,0.996
0.549842031,-0.0283,-0.0386,1.0000,1.001
0.550501823,-0.0264,-0.0381,0.9985,1.000
0.55099375,-0.0239,-0.0435,0.9975,0.999
0.559603854,-0.0181,-0.0405,0.9927,0.994
0.561345521,-0.0200,-0.0415,0.9971,0.998
0.561855364,-0.0181,-0.0415,0.9990,1.000
0.562276354,-0.0200,-0.0386,1.0019,1.003
0.562630833,-0.0200,-0.0317,0.9985,0.999
0.562978229,-0.0195,-0.0332,0.9995,1.000
0.563318958,-0.0210,-0.0337,0.9995,1.000
0.567969791,-0.0200,-0.0303,0.9980,0.999
0.568333073,-0.0215,-0.0337,1.0019,1.003
0.572656093,-0.0200,-0.0293,0.9980,0.999
0.573359062,-0.0166,-0.0259,0.9985,0.999
0.583428385,-0.0205,-0.0273,1.0000,1.001
0.585081771,-0.0200,-0.0234,1.0005,1.001
0.585541718,-0.0151,-0.0254,1.0000,1.000
0.590229218,-0.0171,-0.0220,0.9975,0.998
0.590577396,-0.0186,-0.0190,1.0014,1.002
0.590770104,-0.0200,-0.0200,1.0019,1.002
0.590920521,-0.0230,-0.0269,0.9985,0.999
0.599075104,-0.0322,-0.0239,1.0010,1.002
0.599929583,-0.0430,-0.0313,1.0010,1.002
0.603864635,-0.0513,-0.0347,1.0000,1.002
0.604647083,-0.0611,-0.0386,0.9961,0.999
0.607330833,-0.0626,-0.0386,0.9941,0.997
0.607904791,-0.0493,-0.0469,0.9961,0.998
0.612284166,-0.0083,-0.0586,0.9936,0.995
0.613013698,-0.0273,-0.0591,0.9887,0.991
0.617847396,-0.0210,-0.0503,0.9961,0.998
0.61831,-0.0220,-0.0547,0.9975,0.999
0.618567187,-0.0259,-0.0439,1.0014,1.003
0.623082239,-0.0298,-0.0410,0.9990,1.000
0.629498125,-0.0298,-0.0376,1.0005,1.002
0.630406354,-0.0317,-0.0332,0.9980,0.999
0.635405104,-0.0322,-0.0317,1.0000,1.001
0.636098229,-0.0308,-0.0332,0.9966,0.998
0.636404166,-0.0337,-0.0254,1.0014,1.002
0.636648958,-0.0332,-0.0259,0.9985,0.999
0.641988489,-0.0356,-0.0288,0.9951,0.996
0.642974323,-0.0381,-0.0254,0.9985,1.000
0.652067656,-0.0386,-0.0244,0.9990,1.000
0.652573541,-0.0405,-0.0264,0.9980,0.999
0.652875677,-0.0386,-0.0244,0.9985,1.000
0.656449739,-0.0400,-0.0283,1.0014,1.003
0.658176354,-0.0444,-0.0269,1.0068,1.008
0.6590725,-0.0415,-0.0259,1.0054,1.007
0.66357552,-0.0415,-0.0283,1.0063,1.008
0.664406145,-0.0439,-0.0288,1.0058,1.007
0.664866458,-0.0479,-0.0273,1.0058,1.007
0.665316927,-0.0606,-0.0273,1.0039,1.006
0.67158802,-0.0699,-0.0264,1.0093,1.012
0.674913541,-0.0679,-0.0278,1.0102,1.013
0.675340677,-0.0655,-0.0317,1.0044,1.007
0.681015677,-0.0557,-0.0317,1.0014,1.003
0.682879427,-0.0435,-0.0381,1.0083,1.010
0.684247552,-0.0386,-0.0410,1.0019,1.004
0.685055156,-0.0273,-0.0430,1.0024,1.004
0.68967,-0.0210,-0.0483,0.9966,0.998
0.690153593,-0.0161,-0.0479,0.9956,0.997
0.696331041,-0.0190,-0.0479,0.9980,0.999
0.697137343,-0.0195,-0.0430,0.9985,1.000
0.697366927,-0.0181,-0.0454,0.9951,0.996
0.701751406,-0.0278,-0.0454,0.9956,0.997
0.702093229,-0.0361,-0.0420,0.9951,0.997
0.709059323,-0.0513,-0.0410,0.9961,0.998
0.710053802,-0.0582,-0.0366,0.9966,0.999
0.710411145,-0.0650,-0.0342,0.9946,0.997
0.710754948,-0.0753,-0.0371,0.9966,1.000
0.715916927,-0.0787,-0.0361,0.9912,0.995
0.716425208,-0.0801,-0.0332,0.9878,0.992
0.721004739,-0.0767,-0.0332,0.9912,0.995
0.72429625,-0.0718,-0.0313,0.9863,0.989
0.724891718,-0.0679,-0.0308,0.9892,0.992
0.729623645,-0.0621,-0.0278,0.9907,0.993
0.730502968,-0.0596,-0.0303,0.9902,0.992
0.733827343,-0.0474,-0.0308,0.9873,0.989
0.734301041,-0.0376,-0.0322,0.9892,0.990
0.738215468,-0.0327,-0.0327,0.9873,0.988
0.739165468,-0.0278,-0.0322,0.9887,0.990
0.741558333,-0.0225,-0.0337,0.9917,0.993
0.746673645,-0.0181,-0.0313,0.9956,0.996
0.747445312,-0.0127,-0.0308,0.9927,0.993
0.752545989,-0.0161,-0.0317,0.9941,0.995
0.753920364,-0.0117,-0.0313,0.9995,1.000
0.758395937,-0.0166,-0.0317,1.0010,1.002
0.759249843,-0.0146,-0.0249,0.9990,0.999
0.761750781,-0.0181,-0.0317,1.0005,1.001
0.762740677,-0.0161,-0.0303,1.0014,1.002
0.765968593,-0.0156,-0.0342,1.0044,1.005
0.766172395,-0.0190,-0.0288,1.0014,1.002
0.771452135,-0.0190,-0.0308,1.0039,1.005
0.774569635,-0.0171,-0.0308,1.0054,1.006
0.775035104,-0.0195,-0.0352,1.0044,1.005
0.781168593,-0.0186,-0.0313,1.0054,1.006
0.781776875,-0.0200,-0.0386,1.0088,1.010
0.782596458,-0.0181,-0.0396,1.0044,1.005
0.782820468,-0.0181,-0.0342,1.0054,1.006
0.787111302,-0.0220,-0.0386,1.0088,1.010
0.787823385,-0.0210,-0.0361,1.0083,1.009
0.793135156,-0.0205,-0.0376,1.0097,1.011
0.796188802,-0.0205,-0.0361,1.0058,1.007
0.796964166,-0.0205,-0.0342,1.0063,1.007
0.80322125,-0.0269,-0.0371,1.0005,1.002
0.8042875,-0.0400,-0.0386,0.9980,1.000
0.806032968,-0.0464,-0.0435,0.9917,0.994
0.806354323,-0.0548,-0.0430,0.9897,0.992
0.809873854,-0.0557,-0.0435,0.9873,0.990
0.810362604,-0.0557,-0.0425,0.9858,0.988
0.814118125,-0.0557,-0.0483,0.9897,0.992
0.81886552,-0.0513,-0.0449,0.9853,0.988
0.819809948,-0.0503,-0.0464,0.9912,0.994
0.824695208,-0.0483,-0.0405,0.9931,0.995
0.825197916,-0.0410,-0.0435,0.9936,0.995
0.828394427,-0.0356,-0.0371,0.9927,0.994
0.829160781,-0.0317,-0.0347,0.9907,0.992
0.833421198,-0.0230,-0.0313,0.9966,0.997
0.833911354,-0.0195,-0.0278,0.9966,0.997
0.837276718,-0.0103,-0.0254,0.9917,0.992
0.841284114,-0.0093,-0.0244,0.9868,0.987
0.842203698,-0.0010,-0.0230,0.9853,0.986
0.848857604,-0.0059,-0.0210,0.9917,0.992
0.849839687,-0.0039,-0.0234,0.9887,0.989
0.850846875,-0.0098,-0.0239,0.9883,0.989
0.851505833,-0.0112,-0.0210,0.9883,0.989
0.857735677,-0.0122,-0.0254,0.9897,0.990
0.858112968,-0.0132,-0.0273,0.9951,0.996
0.862945729,-0.0161,-0.0278,0.9946,0.995
0.86478802,-0.0176,-0.0313,0.9946,0.995
0.86505125,-0.0181,-0.0327,1.0014,1.002
0.873830312,-0.0210,-0.0332,1.0024,1.003
0.874687968,-0.0215,-0.0352,1.0039,1.005
0.874979895,-0.0210,-0.0386,1.0107,1.012
0.87522526,-0.0210,-0.0396,1.0058,1.007
0.879247447,-0.0190,-0.0420,1.0068,1.008
0.880001041,-0.0200,-0.0430,1.0088,1.010
0.882754375,-0.0220,-0.0449,1.0083,1.010
0.883085833,-0.0181,-0.0439,1.0107,1.012
0.887385833,-0.0205,-0.0474,1.0083,1.010
0.893348072,-0.0225,-0.0488,1.0029,1.004
0.89382875,-0.0239,-0.0488,1.0078,1.009
0.897079322,-0.0264,-0.0518,1.0029,1.005
0.897864218,-0.0308,-0.0532,1.0049,1.007
0.90200052,-0.0386,-0.0547,1.0034,1.006
0.902783437,-0.0376,-0.0547,1.0019,1.004
0.907925,-0.0420,-0.0532,0.9941,0.996
0.908451666,-0.0454,-0.0547,0.9990,1.002
0.909723437,-0.0454,-0.0508,0.9995,1.002
0.916342656,-0.0469,-0.0503,0.9961,0.998
0.917187187,-0.0523,-0.0488,0.9980,1.001
0.921036666,-0.0645,-0.0479,1.0014,1.005
0.921566979,-0.0753,-0.0488,0.9961,1.000
0.924678854,-0.0801,-0.0488,0.9980,1.002
0.925823802,-0.0875,-0.0469,0.9961,1.001
0.933294843,-0.0924,-0.0503,0.9971,1.003
0.934472395,-0.0987,-0.0527,1.0014,1.008
0.935126979,-0.1036,-0.0542,1.0029,1.010
0.936784531,-0.1002,-0.0508,1.0019,1.008
0.937396197,-0.0958,-0.0474,1.0044,1.010
0.943062083,-0.0880,-0.0498,1.0014,1.007
0.943475781,-0.0767,-0.0513,1.0073,1.012
